;kappa1;kappa2;gauss_curvature;mean_curvature;shape_index;curvedness;triangleAreas
239;-0.216042924439;-0.387651580492;0.0837493811128;-0.301847252465;-0.823682819766;0.313805905822;0.119454920134
240;-0.280448577769;-0.454293307898;0.12740591209;-0.367370942833;-0.852091664561;0.377514115215;0.11927786727
241;-0.297426064354;-0.528084897173;0.157066212611;-0.412755480764;-0.826543600226;0.428565002293;0.113808835461
242;-0.275102789788;-0.501272026126;0.13790133283;-0.388187407957;-0.819537701385;0.404323626026;0.119812761245
243;-0.33024031834;-0.449254110665;0.148361820522;-0.389747214502;-0.903545312256;0.394263822717;0.116017225951
244;-0.267587157011;-0.463215020318;0.123950390372;-0.365401088665;-0.833487761551;0.378266468013;0.121457006424
245;-0.307631917588;-0.478382974889;0.147165871907;-0.393007446239;-0.863818895352;0.402173884895;0.120366542517
246;-0.236615104602;-0.453236384726;0.107242574581;-0.344925744664;-0.80630125787;0.36153141507;0.118947503509
247;-0.326889581911;-0.471653373237;0.154178573984;-0.399271477574;-0.885830361623;0.405779313943;0.120056862229
248;-0.35635316224;-0.427657467475;0.15239709089;-0.392005314857;-0.942259470316;0.393623224496;0.121722151787
249;-0.283487753218;-0.398419488869;0.112947045738;-0.340953621044;-0.89370026742;0.345762487363;0.121000173053
250;-0.254973650117;-0.329665156855;0.0840559283598;-0.292319403486;-0.919105791016;0.294695332418;0.123310881388
251;-0.221084134611;-0.408168592617;0.0902396000743;-0.314626363614;-0.81602387423;0.328237562275;0.118426817484
252;-0.246639296874;-0.482780518495;0.119072647626;-0.364709907685;-0.800680445464;0.383345778509;0.124084643203
253;-0.361384836328;-0.467662876965;0.169006272249;-0.414523856647;-0.91883254534;0.417916000184;0.112159691565
254;-0.284857694488;-0.488991603946;0.139293020924;-0.386924649217;-0.83580618974;0.400160402114;0.11739629773
255;-0.218485837176;-0.443516972933;0.0969021771329;-0.331001405054;-0.791398132413;0.34960217843;0.117970869015
256;-0.245549522105;-0.381411620073;0.0936554410345;-0.313480571089;-0.86414540465;0.320756443219;0.117831266253
257;-0.211549982149;-0.427610441792;0.0904609813279;-0.319580211971;-0.792475521329;0.337345583102;0.122687531049
258;-0.227458207311;-0.497846454953;0.11323926216;-0.362652331132;-0.772832383876;0.387032510768;0.121485138954
259;-0.36229520448;-0.468916910932;0.16988634813;-0.415606057706;-0.918782659825;0.419011267478;0.124312466396
260;-0.26669601253;-0.372895076549;0.0994496300077;-0.31979554454;-0.895249975017;0.324173951154;0.120656471899
261;-0.450928938578;-0.516906888332;0.233088274499;-0.483917913455;-0.956668288836;0.485041049217;0.138621282788
262;-0.408588032472;-0.492356366616;0.201170919111;-0.450472199544;-0.940977828006;0.452415169964;0.120722798998
263;-0.44641873009;-0.50246456923;0.224309594911;-0.47444164966;-0.962441657357;0.475268516687;0.126851437615
264;-0.493476122415;-0.522221180508;0.2577036832;-0.507848651462;-0.981987951517;0.508051987874;0.115176622423
265;-0.410478225225;-0.520510969929;0.213658419147;-0.465494597577;-0.925105936399;0.46873448945;0.174104377629
266;-0.391266560875;-0.504730567152;0.197484193178;-0.447998564014;-0.919808911473;0.451576387268;0.116321199676
267;-0.459843719803;-0.506887658042;0.233089106196;-0.483365688923;-0.969044664439;0.48393767394;0.119396723145
268;-0.480327194891;-0.511232657655;0.245558948388;-0.495779926273;-0.980163919455;0.496020687273;0.124912554333
269;-0.468186088908;-0.512688339885;0.240033548679;-0.490437214396;-0.971136368889;0.49094172144;0.118831067662
270;-0.477143991017;-0.50868651857;0.242716715647;-0.492915254794;-0.979637728491;0.493167498087;0.122353867117
271;-0.43910779567;-0.51166128544;0.224674459179;-0.475384540555;-0.951513314721;0.476766676287;0.124534759595
272;-0.465360968498;-0.520387175353;0.242167879916;-0.492874071925;-0.964499600363;0.493641389712;0.127085453393
273;-0.335590241531;-0.456860812269;0.153318030335;-0.3962255269;-0.903326645794;0.400838254161;0.137310917082
274;-0.396865560088;-0.484601262068;0.19232155129;-0.440733411078;-0.936842861179;0.442911196507;0.128768921491
275;-0.396423079186;-0.481140134934;0.190735053811;-0.43878160706;-0.938732681586;0.440821441831;0.141023513771
